Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2004
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2004
106,59420695	208,28	207	Rashard Lewis	Seattle SuperSonics	105	2004
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2004
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2004
99,7903214	198,12	198	Vince Carter	New Jersey Nets	95	2004
147,41752025	215,9	213	Shaquille O'Neal	Miami Heat	145	2004
102,05828325	203,2	201	Grant Hill	Orlando Magic	100	2004
86,63614267	190,5	189	Gilbert Arenas	Washington Wizards	85	2004
106,59420695	205,74	204	Antawn Jamison	Washington Wizards	105	2004
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2004
117,9340162	220,98	219	Zydrunas Ilgauskas	Cleveland Cavaliers	115	2004
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2004
108,8621688	205,74	204	Ben Wallace	Detroit Pistons	105	2004
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2004
88,45051215	190,5	189	Steve Francis	Houston Rockets	85	2003
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2003
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2003
108,8621688	210,82	210	Kevin Garnett	Minnesota Timberwolves	105	2003
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2003
147,41752025	215,9	213	Shaquille O'Neal	Los Angeles Lakers	145	2003
106,59420695	205,74	204	Andrei Kirilenko	Utah Jazz	105	2003
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2003
103,87265273	208,28	207	Peja Stojakovic	Sacramento Kings	100	2003
92,98643585	195,58	195	Ray Allen	Seattle SuperSonics	90	2003
118,38760857	213,36	213	Brad Miller	Sacramento Kings	115	2003
83,91458845	190,5	189	Sam Cassell	Minnesota Timberwolves	80	2003
108,8621688	205,74	204	Ben Wallace	Detroit Pistons	105	2003
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2003
95,2543977	203,2	201	Tracy McGrady	Orlando Magic	95	2003
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2003
99,7903214	198,12	198	Vince Carter	Toronto Raptors	95	2003
